0.png,0.0
1.png,0.0
2.png,0.0
3.png,0.0
4.png,0.0
5.png,0.0
6.png,0.0
7.png,0.0
8.png,0.0
9.png,0.0
10.png,0.0
11.png,0.0
12.png,0.0
13.png,0.0
14.png,0.0
15.png,0.0
16.png,0.0
17.png,0.0
18.png,0.0
19.png,0.0
20.png,0.0
21.png,0.0
22.png,0.0
23.png,0.0
24.png,10.0
25.png,10.0
26.png,10.0
27.png,10.0
28.png,10.0
29.png,10.0
30.png,10.0
31.png,10.0
32.png,10.0
33.png,10.0
34.png,10.0
35.png,10.0
36.png,10.0
37.png,10.0
38.png,10.0
39.png,10.0
40.png,10.0
41.png,10.0
42.png,10.0
43.png,10.0
44.png,10.0
45.png,10.0
46.png,10.0
47.png,20.0
48.png,20.0
49.png,20.0
50.png,20.0
51.png,20.0
52.png,20.0
53.png,20.0
54.png,20.0
55.png,20.0
56.png,20.0
57.png,20.0
58.png,20.0
59.png,20.0
60.png,20.0
61.png,20.0
62.png,20.0
63.png,20.0
64.png,20.0
65.png,20.0
66.png,20.0
67.png,20.0
68.png,20.0
69.png,30.0
70.png,30.0
71.png,30.0
72.png,30.0
73.png,30.0
74.png,30.0
75.png,30.0
76.png,30.0
77.png,30.0
78.png,30.0
79.png,30.0
80.png,30.0
81.png,30.0
82.png,30.0
83.png,30.0
84.png,30.0
85.png,30.0
86.png,30.0
87.png,30.0
88.png,30.0
89.png,30.0
90.png,30.0
91.png,30.0
92.png,40.0
93.png,40.0
94.png,40.0
95.png,40.0
96.png,40.0
97.png,40.0
98.png,40.0
99.png,40.0
100.png,40.0
101.png,40.0
102.png,40.0
103.png,40.0
104.png,40.0
105.png,40.0
106.png,40.0
107.png,40.0
108.png,40.0
109.png,40.0
110.png,40.0
111.png,40.0
112.png,40.0
113.png,40.0
114.png,40.0
115.png,50.0
116.png,50.0
117.png,50.0
118.png,50.0
119.png,50.0
120.png,50.0
121.png,50.0
122.png,50.0
123.png,50.0
124.png,50.0
125.png,50.0
126.png,50.0
127.png,50.0
128.png,50.0
129.png,50.0
130.png,50.0
131.png,50.0
132.png,50.0
133.png,50.0
134.png,50.0
135.png,50.0
136.png,50.0
137.png,50.0
138.png,60.0
139.png,60.0
140.png,60.0
141.png,60.0
142.png,60.0
143.png,60.0
144.png,60.0
145.png,60.0
146.png,60.0
147.png,60.0
148.png,60.0
149.png,60.0
150.png,60.0
151.png,60.0
152.png,60.0
153.png,60.0
154.png,60.0
155.png,60.0
156.png,60.0
157.png,60.0
158.png,60.0
159.png,60.0
160.png,60.0
161.png,70.0
162.png,70.0
163.png,70.0
164.png,70.0
165.png,70.0
166.png,70.0
167.png,70.0
168.png,70.0
169.png,70.0
170.png,70.0
171.png,70.0
172.png,70.0
173.png,70.0
174.png,70.0
175.png,70.0
176.png,70.0
177.png,70.0
178.png,70.0
179.png,70.0
180.png,70.0
181.png,70.0
182.png,70.0
183.png,70.0
184.png,80.0
185.png,80.0
186.png,80.0
187.png,80.0
188.png,80.0
189.png,80.0
190.png,80.0
191.png,80.0
192.png,80.0
193.png,80.0
194.png,80.0
195.png,80.0
196.png,80.0
197.png,80.0
198.png,80.0
199.png,80.0
200.png,80.0
201.png,80.0
202.png,80.0
203.png,80.0
204.png,80.0
205.png,80.0
206.png,80.0
207.png,90.0
208.png,90.0
209.png,90.0
210.png,90.0
211.png,90.0
212.png,90.0
213.png,90.0
214.png,90.0
215.png,90.0
216.png,90.0
217.png,90.0
218.png,90.0
219.png,90.0
220.png,90.0
221.png,90.0
222.png,90.0
223.png,90.0
224.png,90.0
225.png,90.0
226.png,90.0
227.png,90.0
228.png,90.0
229.png,100.0
230.png,100.0
231.png,100.0
232.png,100.0
233.png,100.0
234.png,100.0
235.png,100.0
236.png,100.0
237.png,100.0
238.png,100.0
239.png,100.0
240.png,100.0
241.png,100.0
242.png,100.0
243.png,100.0
244.png,100.0
245.png,100.0
246.png,100.0
247.png,100.0
248.png,100.0
249.png,100.0
250.png,100.0
251.png,100.0
252.png,0.0
