Filename,Label
0.png,0
1.png,0
2.png,0
3.png,0
4.png,0
5.png,0
6.png,0
7.png,0
8.png,0
9.png,0
10.png,0
11.png,0
12.png,0
13.png,0
14.png,0
15.png,0
16.png,0
17.png,0
18.png,0
19.png,0
20.png,0
21.png,0
22.png,0
23.png,0
24.png,2
25.png,2
26.png,2
27.png,2
28.png,2
29.png,2
30.png,2
31.png,2
32.png,2
33.png,2
34.png,2
35.png,2
36.png,2
37.png,2
38.png,2
39.png,2
40.png,2
41.png,2
42.png,2
43.png,2
44.png,2
45.png,2
46.png,4
47.png,4
48.png,4
49.png,4
50.png,4
51.png,4
52.png,4
53.png,4
54.png,4
55.png,4
56.png,4
57.png,4
58.png,4
59.png,4
60.png,4
61.png,4
62.png,4
63.png,4
64.png,4
65.png,4
66.png,4
67.png,4
68.png,4
69.png,6
70.png,6
71.png,6
72.png,6
73.png,6
74.png,6
75.png,6
76.png,6
77.png,6
78.png,6
79.png,6
80.png,6
81.png,6
82.png,6
83.png,6
84.png,6
85.png,6
86.png,6
87.png,6
88.png,6
89.png,6
90.png,6
91.png,6
92.png,8
93.png,8
94.png,8
95.png,8
96.png,8
97.png,8
98.png,8
99.png,8
100.png,8
101.png,8
102.png,8
103.png,8
104.png,8
105.png,8
106.png,8
107.png,8
108.png,8
109.png,8
110.png,8
111.png,8
112.png,8
113.png,8
114.png,8
115.png,10
116.png,10
117.png,10
118.png,10
119.png,10
120.png,10
121.png,10
122.png,10
123.png,10
124.png,10
125.png,10
126.png,10
127.png,10
128.png,10
129.png,10
130.png,10
131.png,10
132.png,10
133.png,10
134.png,10
135.png,10
136.png,10
137.png,10
138.png,12
139.png,12
140.png,12
141.png,12
142.png,12
143.png,12
144.png,12
145.png,12
146.png,12
147.png,12
148.png,12
149.png,12
150.png,12
151.png,12
152.png,12
153.png,12
154.png,12
155.png,12
156.png,12
157.png,12
158.png,12
159.png,12
160.png,12
161.png,14
162.png,14
163.png,14
164.png,14
165.png,14
166.png,14
167.png,14
168.png,14
169.png,14
170.png,14
171.png,14
172.png,14
173.png,14
174.png,14
175.png,14
176.png,14
177.png,14
178.png,14
179.png,14
180.png,14
181.png,14
182.png,14
183.png,16
184.png,16
185.png,16
186.png,16
187.png,16
188.png,16
189.png,16
190.png,16
191.png,16
192.png,16
193.png,16
194.png,16
195.png,16
196.png,16
197.png,16
198.png,16
199.png,16
200.png,16
201.png,16
202.png,16
203.png,16
204.png,16
205.png,16
206.png,18
207.png,18
208.png,18
209.png,18
210.png,18
211.png,18
212.png,18
213.png,18
214.png,18
215.png,18
216.png,18
217.png,18
218.png,18
219.png,18
220.png,18
221.png,18
222.png,18
223.png,18
224.png,18
225.png,18
226.png,18
227.png,18
228.png,18
229.png,20
230.png,20
231.png,20
232.png,20
233.png,20
234.png,20
235.png,20
236.png,20
237.png,20
238.png,20
239.png,20
240.png,20
241.png,20
242.png,20
243.png,20
244.png,20
245.png,20
246.png,20
247.png,20
248.png,20
249.png,20
250.png,20
251.png,20
252.png,0
